Stock A,Stock B,Correlation
601878,601990,0.919396647861634
600029,601111,0.908147132216171
600369,601375,0.9060125452920067
600918,601990,0.9038453557147907
600908,603323,0.9019497619978339
601186,601800,0.8999712860656391
600918,601878,0.8938507080569497
601878,601901,0.8932297233217411
600109,600369,0.8931866340765121
600109,601878,0.893056501296668
600489,600547,0.889812591235639
601901,601990,0.8897937013490551
600029,600115,0.8897177228915562
600559,603589,0.8890452482701405
601375,601990,0.888763679479643
601318,601601,0.8879596965394221
600109,601990,0.8874219237768836
600369,601990,0.8865205502343256
601375,601878,0.8857984451633193
600109,601375,0.8848986145993738
603000,603888,0.882914886706629
600109,601901,0.8816929204415361
600369,600918,0.880504895418875
600369,601878,0.8804523014432278
600155,601375,0.8769603076107224
600918,601375,0.8759384224302698
688032,688348,0.8744249901774463
600908,601528,0.8741003840454452
600197,600559,0.8738842172581823
601099,601375,0.8713851277714194
601528,601860,0.8713741432226514
600061,600918,0.8710471619952014
600061,600369,0.8705771339500181
600061,601990,0.8704149802674672
600155,600369,0.8699382400370991
601881,601995,0.868963516074061
601186,601390,0.8684477013724549
600109,600918,0.8678356875199957
600918,601901,0.8674786832571282
600061,601878,0.8669287596453309
600026,601872,0.8662160375598605
601528,603323,0.8657708519453237
600197,603589,0.8651042235660905
600155,601990,0.8649312972041314
600547,600988,0.8642267224999937
601375,601901,0.8640019481205101
600369,601901,0.863767561784351
600061,600109,0.8634492873206845
600908,601860,0.8626195741108925
600061,601375,0.8626172554334721
