pair,entry_date,exit_date,direction,pnl
601288-601939,2016-01-12 01:30:00,2016-01-13 01:30:00,short,-1388.7541477107084
600011-600027,2016-01-12 01:30:00,2016-01-19 01:30:00,long,3315.0119953429817
600051-600854,2016-01-12 01:30:00,2016-01-22 01:30:00,short,9058.254495422305
600618-900908,2016-01-13 01:30:00,2016-01-27 01:30:00,long,6908.476998217741
600059-600616,2016-01-20 01:30:00,2016-01-28 01:30:00,long,7211.352724188542
601288-601398,2016-01-12 01:30:00,2016-02-01 01:30:00,short,-1022.6920941606759
600495-601002,2016-01-12 01:30:00,2016-02-01 01:30:00,long,-3833.8348139192276
600497-601958,2016-01-12 01:30:00,2016-02-01 01:30:00,long,6019.177708963802
600679-900916,2016-01-12 01:30:00,2016-02-01 01:30:00,long,15116.623995827522
600851-900917,2016-01-27 01:30:00,2016-02-01 01:30:00,long,7734.421827739675
600348-601699,2016-01-13 01:30:00,2016-02-02 01:30:00,long,-7015.763864456948
601288-601939,2016-01-14 01:30:00,2016-02-03 01:30:00,short,-4142.508420066512
600011-600027,2016-01-26 01:30:00,2016-02-15 01:30:00,short,2101.7402003476814
600199-600809,2016-01-26 01:30:00,2016-02-15 01:30:00,long,-3773.048429372705
600689-900922,2016-01-21 01:30:00,2016-02-15 01:30:00,long,13747.679383182789
600495-601002,2016-02-02 01:30:00,2016-02-22 01:30:00,long,-2321.2287528263632
600679-900916,2016-02-24 01:30:00,2016-02-29 01:30:00,short,9519.876516662274
600362-601168,2016-03-02 01:30:00,2016-03-07 01:30:00,short,-8583.379830666105
600497-601958,2016-03-01 01:30:00,2016-03-15 01:30:00,short,8605.895168311843
600011-600027,2016-03-09 01:30:00,2016-03-16 01:30:00,short,-4155.381489919502
600059-600616,2016-03-01 01:30:00,2016-03-21 01:30:00,short,5231.726337144397
600051-600854,2016-03-03 01:30:00,2016-03-23 01:30:00,long,1736.5785551404597
600362-601168,2016-03-08 01:30:00,2016-03-28 01:30:00,short,10525.621004613215
600108-600598,2016-03-24 01:30:00,2016-03-31 01:30:00,long,4075.3647921958755
601117-601668,2016-03-15 01:30:00,2016-04-05 01:30:00,long,4450.613509610662
600011-600027,2016-03-17 01:30:00,2016-04-06 01:30:00,short,332.6145683619675
600971-600997,2016-04-11 01:30:00,2016-04-12 01:30:00,short,-8683.653442911831
600063-600888,2016-04-13 01:30:00,2016-04-18 01:30:00,long,7155.649117944997
601788-601901,2016-04-01 01:30:00,2016-04-20 01:30:00,short,4417.193918323057
600029-600115,2016-04-19 01:30:00,2016-04-20 01:30:00,long,-5679.523644278077
600015-601166,2016-04-18 01:30:00,2016-04-21 01:30:00,long,-2394.8479984690484
600015-601166,2016-04-22 01:30:00,2016-04-25 01:30:00,long,-884.3209809335325
600056-600713,2016-04-15 01:30:00,2016-04-26 01:30:00,short,6830.345002929391
600272-900943,2016-04-18 01:30:00,2016-04-28 01:30:00,short,5754.980136679039
600056-600713,2016-04-28 01:30:00,2016-04-29 01:30:00,long,4626.420653563779
600757-601928,2016-04-25 01:30:00,2016-05-03 01:30:00,short,-7555.879483835623
600056-600511,2016-04-14 01:30:00,2016-05-04 01:30:00,short,-5072.089750217402
600029-600115,2016-04-21 01:30:00,2016-05-06 01:30:00,long,10602.844274905936
600022-600569,2016-04-21 01:30:00,2016-05-06 01:30:00,long,6237.301902647392
600757-601928,2016-05-04 01:30:00,2016-05-09 01:30:00,short,-4518.919741748851
600618-900908,2016-04-21 01:30:00,2016-05-09 01:30:00,short,4788.69548420937
600501-600855,2016-04-20 01:30:00,2016-05-10 01:30:00,long,3379.364525345958
600108-600598,2016-05-06 01:30:00,2016-05-11 01:30:00,long,-4571.479393316574
600063-600888,2016-04-25 01:30:00,2016-05-16 01:30:00,long,-6050.510103267427
601099-601377,2016-05-11 01:30:00,2016-05-23 01:30:00,short,2214.737527527207
600851-900917,2016-05-04 01:30:00,2016-05-24 01:30:00,short,-4967.988047987491
600056-600511,2016-05-05 01:30:00,2016-05-25 01:30:00,short,-6995.617121469772
600497-601958,2016-05-10 01:30:00,2016-05-30 01:30:00,long,-14556.847412226944
900911-900932,2016-05-23 01:30:00,2016-05-30 01:30:00,short,1409.4408506363015
600689-900922,2016-05-10 01:30:00,2016-05-30 01:30:00,long,2602.8361495766612
600757-601928,2016-05-10 01:30:00,2016-05-30 01:30:00,short,-9431.982094873787
600150-600685,2016-05-12 01:30:00,2016-06-01 01:30:00,short,1533.1155509515957
600059-600616,2016-05-12 01:30:00,2016-06-01 01:30:00,short,455.8096733885362
